GEN,BL,Todesfälle,Meldedatum,Bevoelkerung,Faelle_gesamt,Faelle_7-Tage,Inzidenz_7-Tage,Infektionsrate,Letalitätsrate
Nürnberger Land,Bayern,427,2023-02-20,171424,84054,257,149.9,0.4903280754153444,0.005080067575606158
Neustadt a.d. Aisch-Bad Windsheim,Bayern,182,2023-02-20,101788,50890,161,158.2,0.49996070263685305,0.003576341127922971
Roth,Bayern,274,2023-02-20,127520,66754,195,152.9,0.523478670012547,0.004104622943943434
Weißenburg-Gunzenhausen,Bayern,206,2023-02-20,95523,49754,83,86.9,0.5208588507479874,0.00414037062346746
Aschaffenburg,Bayern,206,2023-02-20,71381,34905,108,151.3,0.4889956711169639,0.005901733276034952
Schweinfurt,Bayern,196,2023-02-20,53585,28722,64,119.4,0.5360082112531492,0.006824037323306177
Würzburg,Bayern,240,2023-02-20,126933,68205,250,197.0,0.5373307177802463,0.003518803606773697
Aschaffenburg,Bayern,372,2023-02-20,174965,86245,227,129.7,0.4929271568599434,0.004313293524262276
Bad Kissingen,Bayern,241,2023-02-20,103454,56199,183,176.9,0.5432269414425736,0.004288332532607342
Rhön-Grabfeld,Bayern,179,2023-02-20,79376,43717,97,122.2,0.5507584156420077,0.004094517007113938
Haßberge,Bayern,178,2023-02-20,84284,45746,86,102.0,0.5427601917327132,0.0038910505836575876
Kitzingen,Bayern,187,2023-02-20,91980,46427,122,132.6,0.5047510328332246,0.004027828634199927
Miltenberg,Bayern,270,2023-02-20,128782,67532,221,171.6,0.5243900545107235,0.003998104602262631
Main-Spessart,Bayern,275,2023-02-20,126105,57567,132,104.7,0.45650053526822887,0.004777042402765473
Schweinfurt,Bayern,273,2023-02-20,116134,63601,146,125.7,0.5476518504486197,0.004292385339853147
Würzburg,Bayern,207,2023-02-20,163534,81460,243,148.6,0.4981227145425416,0.0025411244782715444
Augsburg,Bayern,776,2023-02-20,296478,144020,231,77.9,0.48576960179170126,0.005388140536036662
